,scr_selcode,sub_name,scr_period
0,2970,大學國文(二),(一)01-04 人B120A 錢唯真
1,2974,經濟學(二),(一)08-10 人703 秦國軒
2,2981,APPS程式設計,(一)06-07 行政二館105-電腦實室 王柏婷
3,1250,班級活動,"(一)08-09 工303 陳協志,楊孝淳"
4,1252,有機化學(一),(一)03-04 忠211 (一)10     工303 陳致光
5,1259,微積分(二),(一)06-07 工303 (三)06-07 語206 林維鈞
6,1261,班級活動,"(一)08-09 語301 黃建霖,陳致光"
7,1263,有機化學(一),(一)02     工416 (二)08-09 語302 廖盛焜
8,1265,普通化學(二),(一)03-04 工416 (四)02     人705 楊孝淳
9,1270,微積分(二),(一)06-07 語301 (三)06-07 語301 張其棟
10,1271,纖維複合材料概論,(一)10     語301 廖盛焜
11,1272,班級活動,(一)08-09 工416 李維平
12,1273,工程數學(二),(一)01-02 工303 李維平
13,1274,織品製程(二),(一)06-07 工416 鄭國彬
14,1278,纖維材料學,(一)03-04 忠308 林佳弘
15,1281,班級活動,(一)08-09 語205 蔡昆恊
16,1282,工程數學(二),(一)03-04 工303 李維平
17,1287,纖維材料學,(一)01-02 忠308 林佳弘
18,1294,班級活動,(一)09     工305 蔡宜壽
19,1310,智慧紡織品,(一)03-04 語105 石天威
20,1311,纖維與高分子材料實習,"(一)06-07 工310 陳致光,黃建霖"
21,1302,班級活動,(一)09     語305 廖盛焜
22,1313,班級活動,(一)09     語407 陳文正
23,1322,專題討論(二),(一)08     工410 楊孝淳
24,1324,研究報告寫作,(一)06-07 工410 陳文正
25,1329,石墨烯製備、量測與應用,(一)02-04 工410 蔡宜壽
26,1331,專題討論(四),(一)08     工223 廖盛焜
27,1335,書報討論(二),(一)10     工410 黃建霖
28,1336,專題討論(二),(一)09     工223 林佳弘
29,1340,書報討論(四),(一)10     工410 黃建霖
30,1342,專題討論(四),(一)09     工223 林佳弘
31,1137,班級活動,"(一)08     語204 劉顯光,尹清岩"
32,1142,微積分(二),(一)07     語204 (五)01-02 語103 黃新峰
33,1143,應用力學(二),(一)02-04 工305 袁長安
34,1144,班級活動,"(一)08     忠209 成銘德,張文政"
35,1147,工程圖學(二),(一)02-04 工319(電腦實習室) 尹清岩
36,1149,微積分(二),(一)07     忠209 (五)01-02 語104 魏傳昇
37,1151,班級活動,"(一)08     語202 劉明山,林源堂"
38,1156,微積分(二),(一)07     語202 (五)01-02 語202 曾勵新
39,4276,全民國防教育軍事訓練(二),"(一)03-04 資電222(第三國會廳) 徐敬浩,廖志明"
40,1158,班級活動,(一)08     科航204 洪榮洲
41,1165,電腦輔助立體繪圖,(一)09-10 工319(電腦實習室) 劉明山
42,1166,熱力學(二),(一)06-07 科航204 (二)01     工305 張文政
43,1168,班級活動,(一)08     忠205 林浩庭
44,1169,工程數學(二),(一)09-10 語101 (二)10     語101 楊世宏
45,1172,材料力學(二),(一)04     忠205 (一)06-07 忠205 黃宗立
46,1178,班級活動,(一)09     語307 彭信舒
47,1183,計算機程式,(一)01-02 理402 (一)06     理203(數電腦室) 劉明山
48,1211,流體動力學,(一)02-04 科航203 林源堂
49,1213,控制系統(二),(一)06-08 忠211 蕭肇殷
50,1214,新製造技術,(一)11-12 工319(電腦實習室) 蔡文卿
51,1215,智慧機械整合技術,"(一)06-08 語201 彭信舒,王啟昌,蔡鈺鼎"
52,1218,雷射工程導論,(一)06-07 忠303 (二)01     忠211 林源堂
53,1219,數值分析,(一)02-04 工209 張文政
54,1220,機電整合,(一)06-08 工516 鄧錦坤
55,1225,新科技之進化與應用(二),(一)03-04 語101 戴文龍
56,1228,精密模具設計與製造,(一)11-13 工209 彭信舒
57,1234,專題討論(二),(一)08     工302 楊世宏
58,1238,高等生產系統-精實生產,(一)02-04 工204 鄭豐聰
59,1247,專題討論(四),(一)08     工302 楊世宏
60,1343,班級活動,"(一)09     忠211 唐國豪,林暘桂"
61,1346,工業會計學,(一)06-08 語307 吳美芳
62,1347,微積分(二)實習,(一)03-04 忠303 李承璋
63,1351,班級活動,"(一)09     忠303 林棋瑋,郭修暐"
